,_id,RecordType,Line,Floor,Description,Area,Price,Value,UAN
78,5ff5fc9d01ca7dbc6d2a85ad,2.0,1,Ground,Retail Zone A,21.73,140.00,3042.0,12718371000
79,5ff5fc9d01ca7dbc6d2a88a1,2.0,5,First,Office,18.22,12.50,228.0,12001163000
80,5ff5fc9d01ca7dbc6d2a8e1a,2.0,6,Ground,Area Under Supported Floor,19.61,27.30,535.0,12869046000
81,5ff5fc9d01ca7dbc6d2a889d,2.0,1,Ground,Retail Zone A,31.63,200.00,6326.0,12001163000
82,5ff5fc9d01ca7dbc6d2a88a3,2.0,7,First,Internal Storage,10.53,10.00,105.0,12001163000
83,5ff5fc9d01ca7dbc6d2a889f,2.0,3,Ground,Office,19.08,25.00,477.0,12001163000
84,5ff5fc9d01ca7dbc6d2a88a2,2.0,6,First,Kitchen,12.04,10.00,120.0,12001163000
85,5ff5fc9d01ca7dbc6d2a8ad2,2.0,4,First,Office,27.05,46.80,1266.0,11214732000
86,5ff5fc9d01ca7dbc6d2a8acf,2.0,1,Ground,Workshop,82.85,39.00,3231.0,11214732000
87,5ff5fc9d01ca7dbc6d2a8ad3,2.0,5,First,Internal Storage,8.72,25.35,221.0,11214732000
88,5ff5fc9d01ca7dbc6d2a8e17,2.0,3,Ground,Office,53.96,46.80,2525.0,12869046000
89,5ff5fc9d01ca7dbc6d2a8ad5,2.0,7,Ground,Reception / Entrance,4.31,25.00,108.0,11214732000
90,5ff5fc9d01ca7dbc6d2a88a0,2.0,4,Ground,Kitchen,1.92,20.00,38.0,12001163000
91,5ff5fc9d01ca7dbc6d2a8ad4,2.0,6,Ground,Retail Zone A,18.75,190.00,3563.0,11214732000
92,5ff5fc9d01ca7dbc6d2a8e15,2.0,1,Ground,Workshop,487.93,39.00,19029.0,12869046000
93,5ff5fc9d01ca7dbc6d2a889e,2.0,2,Ground,Retail Zone B,8.24,100.00,824.0,12001163000
94,5ff5fc9d01ca7dbc6d2a8e16,2.0,2,Mezzanine,Store,19.61,19.50,382.0,12869046000
95,5ff5fc9d01ca7dbc6d2a8e18,2.0,4,First,Office,53.96,46.80,2525.0,12869046000
96,5ff5fc9d01ca7dbc6d2a8ad7,2.0,9,First,Internal Storage,15.99,10.00,160.0,11214732000
97,5ff5fc9d01ca7dbc6d2aa48c,2.0,1,Ground,Office,10.50,90.00,945.0,336441212
98,5ff5fc9d01ca7dbc6d2aa48e,2.0,3,Ground,Office,12.75,90.00,1148.0,336441212
99,5ff5fc9d01ca7dbc6d2aa48f,2.0,4,Ground,Office,15.80,90.00,1422.0,336441212
100,5ff5fc9d01ca7dbc6d2aa498,2.0,13,First,Office,14.80,76.50,1132.0,336441212
101,5ff5fc9d01ca7dbc6d2aa492,2.0,7,Ground,Office,5.60,90.00,504.0,336441212
102,5ff5fc9d01ca7dbc6d2aa494,2.0,9,First,Office,12.10,76.50,926.0,336441212
103,5ff5fc9d01ca7dbc6d2aa499,2.0,14,Second,Office,25.20,67.50,1701.0,336441212
104,5ff5fc9d01ca7dbc6d2aa490,2.0,5,Ground,Office,8.60,90.00,774.0,336441212
105,5ff5fc9d01ca7dbc6d2aa495,2.0,10,First,Office,15.70,76.50,1201.0,336441212
106,5ff5fc9d01ca7dbc6d2aa497,2.0,12,First,Office,18.80,76.50,1438.0,336441212
107,5ff5fc9d01ca7dbc6d2aa49c,2.0,17,First,Portable Building,36.13,38.25,1382.0,336441212
108,5ff5fc9d01ca7dbc6d2aa49a,2.0,15,Second,Office,4.10,67.50,277.0,336441212
109,5ff5fc9d01ca7dbc6d2aa491,2.0,6,Ground,Office,6.66,90.00,599.0,336441212
110,5ff5fc9d01ca7dbc6d2aa48d,2.0,2,Ground,Office,17.80,90.00,1602.0,336441212
111,5ff5fc9d01ca7dbc6d2aa493,2.0,8,Ground,Office,13.08,90.00,1177.0,336441212
112,5ff5fc9d01ca7dbc6d2aa5aa,2.0,1,Ground,Office,62.95,165.00,10387.0,8996797000
113,5ff5fc9d01ca7dbc6d2aa49b,2.0,16,Ground,Portable Building,72.26,45.00,3252.0,336441212
114,5ff5fc9d01ca7dbc6d2aa496,2.0,11,First,Kitchen,4.70,76.50,360.0,336441212
115,5ff5fc9d01ca7dbc6d2ab2c5,2.0,3,Ground,Retail Zone C,16.80,50.00,840.0,249355212
116,5ff5fc9d01ca7dbc6d2ab76d,2.0,3,Basement,Internal Storage,12.00,8.25,99.0,5119212
117,5ff5fc9d01ca7dbc6d2ab8cf,2.0,1,Ground,Retail Zone A,40.04,152.63,6111.0,331355212
118,5ff5fc9d01ca7dbc6d2ac0c1,2.0,1,Ground,Retail Zone A,24.50,150.00,3675.0,248946212
119,5ff5fc9d01ca7dbc6d2ab152,2.0,1,Ground,Warehouse,617.17,35.72,22045.0,10514488000
120,5ff5fc9d01ca7dbc6d2ab155,2.0,4,Ground,Loading Bay,26.82,19.00,510.0,10514488000
121,5ff5fc9d01ca7dbc6d2ab1a5,2.0,4,Ground,Staff Toilets,,0.00,0.0,7424510000
122,5ff5fc9d01ca7dbc6d2ab2c4,2.0,2,Ground,Retail Zone B,26.10,100.00,2610.0,249355212
123,5ff5fc9d01ca7dbc6d2ab792,2.0,3,Ground,Internal Storage,13.40,15.00,201.0,249397212
124,5ff5fc9d01ca7dbc6d2ac0c2,2.0,2,Ground,Retail Zone B,6.25,75.00,469.0,248946212
125,5ff5fc9d01ca7dbc6d2ab1a3,2.0,2,Ground,Retail Zone B,17.48,100.00,1748.0,7424510000
126,5ff5fc9d01ca7dbc6d2ab1a4,2.0,3,Ground,Kitchen,6.77,20.00,135.0,7424510000
127,5ff5fc9d01ca7dbc6d2ab154,2.0,3,Ground,Office,80.48,45.60,3670.0,10514488000
128,5ff5fc9d01ca7dbc6d2ab2c8,2.0,6,Ground,Remaining Retail Zone,9.70,25.00,243.0,249355212
129,5ff5fc9d01ca7dbc6d2ab8d1,2.0,3,Ground,Remaining Retail Zone,12.61,19.08,241.0,331355212
130,5ff5fc9d01ca7dbc6d2ab76b,2.0,1,Ground,Retail Zone A,26.15,165.00,4315.0,5119212
131,5ff5fc9d01ca7dbc6d2ab153,2.0,2,Ground,Warehouse,691.63,34.83,24089.0,10514488000
132,5ff5fc9d01ca7dbc6d2ab7e9,2.0,2,Ground,Kitchen,11.71,20.00,234.0,249370212
133,5ff5fc9d01ca7dbc6d2ab8d0,2.0,2,Ground,Retail Zone B,47.28,76.31,3608.0,331355212
134,5ff5fc9d01ca7dbc6d2ab7eb,2.0,4,Ground,Kitchen,9.96,20.00,199.0,249370212
135,5ff5fc9d01ca7dbc6d2ab1a2,2.0,1,Ground,Retail Zone A,24.48,200.00,4896.0,7424510000
136,5ff5fc9d01ca7dbc6d2ab2c6,2.0,4,Ground,Internal Storage,6.60,20.00,132.0,249355212
137,5ff5fc9d01ca7dbc6d2ab2c7,2.0,5,Ground,Kitchen,5.50,20.00,110.0,249355212
138,5ff5fc9d01ca7dbc6d2ab2c3,2.0,1,Ground,Retail Zone A,24.03,200.00,4806.0,249355212
